"timeStamp","sixtyKTemp","threeKTemp","baseTemp"
1450087763,48.1,2.9577,2.81
1450087758,48.099,2.9524,2.8
1450087753,48.1,2.9581,2.81
1450087748,48.099,2.9605,2.82
1450087742,48.098,2.9537,2.82
1450087737,48.099,2.956,2.8
1450087732,48.098,2.9611,2.84
1450087727,48.098,2.9541,2.84
1450087722,48.097,2.9538,2.81
1450087717,48.097,2.9606,2.8
1450087711,48.097,2.9584,2.82
1450087706,48.097,2.9518,2.83
1450087701,48.096,2.9568,2.81
1450087696,48.096,2.9596,2.81
1450087691,48.095,2.9533,2.81
1450087686,48.094,2.9541,2.79
1450087680,48.094,2.9594,2.84
1450087675,48.095,2.956,2.81
1450087670,48.095,2.9524,2.79
1450087665,48.095,2.9596,2.8
1450087660,48.094,2.9586,2.83
1450087655,48.094,2.952,2.81
1450087650,48.093,2.9561,2.81
1450087644,48.093,2.9604,2.81
1450087639,48.093,2.9548,2.82
1450087634,48.094,2.9553,2.82
1450087629,48.094,2.9607,2.83
1450087624,48.093,2.9578,2.86
1450087619,48.093,2.9532,2.81
1450087613,48.092,2.9596,2.83
1450087608,48.093,2.9617,2.81
1450087603,48.093,2.9542,2.83
1450087598,48.093,2.9564,2.82
1450087593,48.093,2.9628,2.81
1450087588,48.093,2.9571,2.81
1450087583,48.093,2.9558,2.79
1450087577,48.094,2.963,2.81
1450087572,48.093,2.9599,2.84
1450087567,48.091,2.9548,2.82
1450087562,48.09,2.961,2.83
1450087557,48.089,2.9634,2.84
1450087552,48.088,2.9561,2.8
1450087546,48.087,2.958,2.79
1450087541,48.087,2.9639,2.82
1450087536,48.087,2.9616,2.82
1450087531,48.087,2.957,2.8
1450087526,48.087,2.9628,2.79
1450087521,48.087,2.9642,2.83
1450087516,48.087,2.9577,2.8
1450087510,48.087,2.9599,2.83
1450087505,48.087,2.966,2.84
1450087500,48.087,2.958,2.81
1450087495,48.086,2.9608,2.83
1450087490,48.086,2.9658,2.81
1450087485,48.086,2.9589,2.81
1450087479,48.085,2.9608,2.81
1450087474,48.084,2.9667,2.8
1450087469,48.084,2.9612,2.82
1450087464,48.085,2.9589,2.82
1450087459,48.084,2.965,2.81
1450087454,48.085,2.9642,2.8
1450087448,48.086,2.9582,2.82
1450087443,48.087,2.9646,2.81
1450087438,48.087,2.9654,2.8
1450087433,48.088,2.957,2.81
1450087428,48.087,2.9594,2.8
1450087423,48.088,2.9649,2.83
1450087417,48.087,2.9601,2.81
1450087412,48.087,2.9571,2.81
1450087407,48.088,2.9623,2.8
1450087402,48.087,2.9608,2.82
1450087397,48.087,2.9551,2.82
1450087392,48.088,2.9601,2.8
1450087387,48.087,2.9645,2.81
1450087381,48.087,2.9573,2.82
1450087376,48.088,2.9584,2.83
1450087371,48.087,2.9636,2.82
1450087366,48.087,2.9591,2.81
1450087361,48.087,2.9562,2.82
1450087356,48.086,2.9623,2.81
1450087350,48.087,2.9625,2.81
1450087345,48.086,2.9561,2.82
1450087340,48.084,2.9611,2.82
1450087335,48.084,2.9653,2.79
1450087330,48.083,2.9576,2.81
1450087325,48.082,2.9599,2.81
1450087319,48.082,2.9663,2.82
1450087314,48.082,2.9605,2.82
1450087309,48.083,2.96,2.83
1450087304,48.084,2.9657,2.79
1450087299,48.084,2.9633,2.82
1450087294,48.085,2.9586,2.83
1450087289,48.085,2.9639,2.83
1450087283,48.084,2.965,2.81
1450087278,48.084,2.958,2.84
1450087273,48.083,2.9614,2.83
1450087268,48.082,2.9662,2.83
1450087263,48.083,2.9628,2.82
1450087258,48.084,2.9585,2.83
1450087252,48.084,2.964,2.82
1450087247,48.085,2.9649,2.79
1450087242,48.086,2.9574,2.8
1450087237,48.086,2.9625,2.83
1450087232,48.087,2.9646,2.8
1450087227,48.087,2.9575,2.82
1450087221,48.087,2.9596,2.82
1450087216,48.086,2.9646,2.81
1450087211,48.086,2.9588,2.82
1450087206,48.085,2.9556,2.8
1450087201,48.084,2.9628,2.83
1450087196,48.083,2.9633,2.82
1450087191,48.082,2.9565,2.82
1450087185,48.08,2.9619,2.8
1450087180,48.08,2.9651,2.81
1450087175,48.079,2.9584,2.81
1450087170,48.077,2.9589,2.83
1450087165,48.077,2.966,2.81
1450087160,48.076,2.9624,2.86
1450087155,48.075,2.9589,2.81
1450087149,48.074,2.9672,2.83
1450087144,48.072,2.9654,2.81
1450087139,48.071,2.9586,2.82
1450087134,48.07,2.9639,2.82
1450087129,48.07,2.9678,2.81
1450087124,48.07,2.9602,2.82
1450087118,48.069,2.9633,2.82
1450087113,48.069,2.967,2.83
1450087108,48.07,2.961,2.83
1450087103,48.07,2.9611,2.86
1450087098,48.071,2.9667,2.79
1450087093,48.071,2.9635,2.81
1450087087,48.073,2.9582,2.82
1450087082,48.074,2.9652,2.83
1450087077,48.074,2.9621,2.81
1450087072,48.076,2.9566,2.8
1450087067,48.076,2.9616,2.83
1450087062,48.078,2.963,2.81
1450087056,48.078,2.9543,2.81
1450087051,48.079,2.9579,2.82
1450087046,48.079,2.9624,2.82
1450087041,48.08,2.9548,2.82
1450087036,48.079,2.9551,2.83
1450087031,48.08,2.9612,2.83
1450087025,48.08,2.9563,2.8
1450087020,48.079,2.9537,2.82
1450087015,48.077,2.9605,2.82
1450087010,48.076,2.9586,2.83
1450087005,48.076,2.9525,2.78
1450087000,48.075,2.958,2.82
1450086994,48.075,2.9607,2.82
1450086989,48.074,2.9547,2.83
1450086984,48.074,2.957,2.84
1450086979,48.074,2.962,2.81
1450086974,48.074,2.9578,2.82
1450086969,48.074,2.9547,2.84
1450086964,48.074,2.9616,2.82
1450086958,48.072,2.9605,2.81
1450086953,48.073,2.9541,2.82
1450086948,48.072,2.9592,2.79
1450086943,48.072,2.9624,2.83
1450086938,48.072,2.9545,2.81
1450086933,48.072,2.9579,2.81
1450086927,48.072,2.9632,2.8
1450086922,48.071,2.9577,2.83
1450086917,48.071,2.9551,2.82
1450086912,48.07,2.9608,2.82
1450086907,48.069,2.9597,2.83
1450086902,48.068,2.9536,2.82
1450086897,48.069,2.959,2.83
1450086891,48.069,2.963,2.78
1450086886,48.07,2.9562,2.81
1450086881,48.071,2.9583,2.84
1450086876,48.071,2.9641,2.81
1450086871,48.072,2.9566,2.82
1450086866,48.071,2.9558,2.83
1450086860,48.071,2.9636,2.83
1450086855,48.072,2.9591,2.84
1450086850,48.072,2.9554,2.82
1450086845,48.071,2.9615,2.84
1450086840,48.072,2.9622,2.85
1450086835,48.071,2.9558,2.85
1450086829,48.071,2.9603,2.83
1450086824,48.071,2.9639,2.84
1450086819,48.07,2.9577,2.82
1450086814,48.07,2.9569,2.81
1450086809,48.071,2.9642,2.81
1450086804,48.07,2.9614,2.83
1450086799,48.07,2.957,2.82
1450086793,48.07,2.9638,2.83
1450086788,48.07,2.9641,2.86
1450086783,48.07,2.9575,2.82
1450086778,48.07,2.9616,2.84
1450086773,48.069,2.9658,2.81
1450086768,48.07,2.9598,2.83
1450086762,48.071,2.9591,2.82
1450086757,48.072,2.9666,2.84
1450086752,48.072,2.9659,2.86
1450086747,48.075,2.9593,2.85
1450086742,48.075,2.9642,2.85
1450086737,48.076,2.9678,2.83
1450086732,48.076,2.9614,2.85
1450086726,48.077,2.9634,2.83
1450086721,48.079,2.9697,2.81
1450086716,48.079,2.9659,2.86
1450086711,48.079,2.962,2.85
1450086706,48.08,2.9694,2.84
1450086701,48.079,2.9714,2.85
1450086696,48.079,2.9659,2.84
1450086690,48.079,2.9702,2.85
1450086685,48.078,2.9756,2.83
1450086680,48.078,2.9693,2.85
1450086675,48.076,2.9753,2.84
1450086670,48.075,2.9812,2.84
1450086664,48.074,2.9772,2.81
1450086659,48.074,2.979,2.85
1450086654,48.072,2.9878,2.85
1450086649,48.072,2.9846,2.86
1450086644,48.07,2.9864,2.88
1450086639,48.07,2.9949,2.85
1450086633,48.07,2.9954,2.86
1450086628,48.069,2.9932,2.88
1450086623,48.068,3.0038,2.86
1450086618,48.068,3.0057,2.89
1450086613,48.069,3.0033,2.87
1450086608,48.068,3.0125,2.85
1450086602,48.066,3.0188,2.88
1450086597,48.066,3.016,2.87
1450086592,48.066,3.0227,2.85
1450086587,48.065,3.0315,2.88
1450086582,48.065,3.0296,2.86
1450086577,48.065,3.031,2.88
1450086572,48.066,3.039,2.86
1450086566,48.065,3.0391,2.87
1450086561,48.063,3.0339,2.86
1450086556,48.062,3.0425,2.85
1450086551,48.061,3.0862,2.82
1450086546,48.06,3.0232,2.82
1450086541,48.061,2.9565,2.82
1450086535,48.06,2.963,2.82
1450086530,48.06,2.9601,2.83
1450086525,48.06,2.9548,2.84
1450086520,48.058,2.9606,2.84
1450086515,48.058,2.9619,2.85
1450086510,48.056,2.9541,2.8
1450086505,48.056,2.9598,2.81
1450086499,48.056,2.9638,2.85
1450086494,48.057,2.9562,2.81
1450086489,48.057,2.9573,2.81
1450086484,48.056,2.9642,2.84
1450086479,48.056,2.961,2.82
1450086474,48.056,2.9552,2.83
1450086468,48.056,2.9607,2.81
1450086463,48.056,2.9625,2.8
1450086458,48.055,2.9555,2.83
1450086453,48.054,2.9577,2.8
1450086448,48.054,2.9631,2.79
1450086443,48.054,2.9584,2.83
1450086438,48.053,2.9569,2.81
1450086432,48.054,2.9637,2.84
1450086427,48.054,2.9609,2.83
1450086422,48.053,2.9559,2.84
1450086417,48.052,2.9627,2.83
1450086412,48.051,2.9614,2.82
1450086407,48.05,2.9553,2.81
1450086401,48.049,2.9612,2.82
1450086396,48.048,2.9639,2.83
